code,name
JBH8,J&B INTERNATIONAL LTD. TAIWAN BRANCH
JBH8,J & B VIETNAM HI-TECH COMPANY LIMITED
NMC,"NGOC MINH CHAU PACKAGING CO., LTD"
JBH8,J&B INTERNATIONAL LTD.TAIWAN BRANCH
JCM8,"MAXIM LABEL & PACKAGING VIETNAM CO., LTD"
SEC8,"S.E.C. (SAN-EI CHEMICAL) CO., LTD. "
SEC8,P P S E C COMPANY LIMITED 
NIS8,NISHAT MILLS LIMITED
SEC8,S.E.C. CO. LTD. HK
HXP8,"SHANGHAI LANSHENG LIGHT INDUSTRIAL PRODUCTS IMP.&EXP. CO., LTD."
STW8,STANWELL-EXPAN CO. LTD.
JOV8,"JOV GARMENT ACCESSORIAL MATERIAL CO.,LTD"
CTVC,THAI VIET CORPORATION   
THP8,"TIANHE PRINTING&DYEING CO.,LTD"
JOV8,VIETNAM JINTAI TEXTILE TECHNOLOGY CO.LTD 
FIS8,FRAMIS ITALIA HK LTD 
MEC,"MEN-CHUEN FIBRE INDUSTRY COL.,LTD."
MEC,"MEN-CHUEN VIETNAM CO., LTD."
BUT8,BUTTON INTERNATIONAL
CHR,CHI YANG RIBBON
TSR01,TOP STAR TEXTILE LIMITED
CNPI,NONWOVEN PRODUCT INDUSTRIES (M) SDN.BHD
ESQ8,ESQUEL ACCESSORIES MKT CO LTD
VNMNT,"MAINETTI VIETNAM CO., LTD"
CHR,"CHI YANG RIBBON CO., LTD"
CHR,"CHI YANG RIBBON CO., LTD"
TIF,NIFCO TAIWAN CORPORATION
ESQ8,GUANG DONG ESQUEL
VNMNT,MHL INDUSTRIES (M) SDN BHD
CJRS,JOREX SDN. BHD
VPL,VPL
CITW,ITW GRAPHICS (THAILAND) LTD 
CALI,CALICO PVT COLOR 
UIB8,UNITEX 
MOR8,"MORITO SCOVILL HK CO., LTD"
NULL,VIETNAM JINTAI TEXTILE TECHNOLOGY CO.LTD
GBT8,GB TEXTILE
TWKCE,"KAI CHERNG ENTERPRISE CO., LTD"
BPI8,"DONG GUAN BEST PACIFIC TEXTILE LTD, NEW HORIZON ELASTIC FABRIC CO,.LTD"
LBO8,"LEE BOU INTERNATIONAL CO., LTD"
LBO8,"LEE BOU INTERNATIONAL CO., LTD"
PTL,PACIFIC TEXTILES LTD
TYC8,TORAY SAKAI WEAVING & DYEING
TYC8,TORAY TEXTILES(THAILAND) PUBLIC COMPANY LIMITED
ESH,EVEREST TEXTILE(SHANGHAI)LTD
GLT8,"SYNNIX INDUSTRIES,INC."
UVI,"UNIVERSAL TRIM SUPPLY CO., LTD"
YTW8,"YKK CO., LTD."
LYI,"L.Y.INDUSTRIES CO., LTD"
RTF,RUEY TAY FIBRE INDUSTRY CO.
